date,peak_price,peak_percent,chip_total_percent,date_str
2026-01-14,4.6,22.26,100.00999999999999,2026-01-14
2026-01-15,4.6,22.28,99.99999999999997,2026-01-15
2026-01-16,4.6,23.43,99.99999999999997,2026-01-16
2026-01-19,4.6,24.27,100.00999999999999,2026-01-19
2026-01-20,4.6,23.91,100.00999999999999,2026-01-20
2026-01-21,4.6,23.43,100.00999999999999,2026-01-21
2026-01-22,4.6,23.02,100.00999999999999,2026-01-22
2026-01-23,4.6,22.59,99.99999999999999,2026-01-23
2026-01-26,4.6,21.81,100.01,2026-01-26
2026-01-27,4.6,21.35,100.01,2026-01-27
2026-01-28,4.6,20.8,100.00999999999999,2026-01-28
2026-01-29,4.6,20.43,100.00999999999999,2026-01-29
2026-01-30,4.6,20.03,100.02,2026-01-30
2026-02-02,4.6,19.41,100.0,2026-02-02
2026-02-03,4.8,19.6,100.02,2026-02-03
2026-02-04,4.8,20.3,100.01,2026-02-04
2026-02-05,4.8,20.86,100.00999999999999,2026-02-05
2026-02-06,4.8,21.65,100.01,2026-02-06
2026-02-09,4.8,21.95,100.00999999999999,2026-02-09
2026-02-10,4.8,22.53,100.0,2026-02-10
2026-02-11,4.8,22.8,99.98999999999998,2026-02-11
2026-02-12,4.8,22.58,100.00999999999999,2026-02-12
2026-02-13,4.8,23.27,100.02,2026-02-13
2026-02-24,4.8,23.97,100.02000000000001,2026-02-24
2026-02-25,4.8,23.75,100.01999999999998,2026-02-25
2026-02-26,4.8,23.1,100.00999999999999,2026-02-26
2026-02-27,4.8,22.27,100.00999999999998,2026-02-27
2026-03-02,4.8,21.4,100.01999999999997,2026-03-02
2026-03-03,4.8,20.75,100.01999999999998,2026-03-03
2026-03-04,4.8,20.18,100.01999999999998,2026-03-04
2026-03-05,4.8,19.62,100.00999999999999,2026-03-05
2026-03-06,4.8,19.02,99.99999999999997,2026-03-06
2026-03-09,4.8,18.34,100.01999999999998,2026-03-09
2026-03-10,4.8,17.75,100.01999999999998,2026-03-10
2026-03-11,4.8,17.11,100.01999999999998,2026-03-11
2026-03-12,4.8,16.19,100.00999999999998,2026-03-12
2026-03-13,4.8,15.23,100.01999999999997,2026-03-13
2026-03-16,4.8,14.61,100.00999999999996,2026-03-16
2026-03-17,4.8,14.14,99.99999999999997,2026-03-17
2026-03-18,4.8,13.84,99.99999999999997,2026-03-18
2026-03-19,4.8,12.31,100.00999999999996,2026-03-19
2026-03-20,4.8,8.95,99.95999999999998,2026-03-20
2026-03-23,6.2,9.53,99.99999999999999,2026-03-23
2026-03-24,6.2,10.35,100.00999999999999,2026-03-24
2026-03-25,6.2,8.47,100.0,2026-03-25
2026-03-26,6.2,5.94,100.03,2026-03-26
2026-03-27,7.1,7.94,100.04000000000002,2026-03-27
2026-03-30,6.3,8.0,100.05000000000001,2026-03-30
2026-03-31,6.3,8.04,100.03,2026-03-31
2026-04-01,6.3,7.19,100.02,2026-04-01
