排名,股票代码,股票名称,行业,市场板块,收盘价,综合排名分,结论标签,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,000608.SZ,*ST阳光,区域地产,主板,4.36,133.3,high_quality_continuation,100,87.30%,74.67%,6.22%,54,0.42
2,002594.SZ,比亚迪,汽车整车,主板,106.05,132.23,high_quality_continuation,100,86.23%,69.67%,5.88%,54,0.66
3,300050.SZ,世纪鼎利,通信设备,创业板,6.57,128.9,high_quality_continuation,100,81.90%,85.33%,6.32%,53,0.41
4,300559.SZ,佳发教育,软件服务,创业板,13.18,128.21,high_quality_continuation,100,86.21%,76.67%,6.23%,58,0.52
5,000049.SZ,德赛电池,电气设备,主板,27.30,128.01,high_quality_continuation,100,84.01%,75.33%,5.99%,56,0.49
6,600976.SH,健民集团,中成药,主板,34.13,127.93,high_quality_continuation,100,81.93%,73.00%,5.70%,54,0.53
7,300685.SZ,艾德生物,医疗保健,创业板,22.75,127.04,high_quality_continuation,100,83.04%,70.00%,5.64%,56,0.66
8,002810.SZ,山东赫达,化工原料,主板,22.90,127.02,high_quality_continuation,100,84.02%,73.94%,5.92%,57,0.53
9,002053.SZ,云南能投,新型电力,主板,13.17,126.54,high_quality_continuation,100,81.54%,76.67%,5.86%,55,0.52
10,600750.SH,华润江中,中成药,主板,26.81,125.61,high_quality_continuation,100,81.61%,74.33%,5.75%,56,0.50
11,002025.SZ,航天电器,元器件,主板,66.48,124.5,high_quality_continuation,100,86.50%,64.69%,5.65%,62,0.66
12,603787.SH,新日股份,摩托车,主板,15.65,123.71,high_quality_continuation,100,85.71%,72.33%,5.97%,62,0.58
13,300231.SZ,银信科技,软件服务,创业板,12.09,122.78,high_quality_continuation,100,81.78%,75.05%,5.79%,59,0.53
14,002950.SZ,奥美医疗,医疗保健,主板,12.43,122.63,high_quality_continuation,100,82.63%,72.33%,5.73%,60,0.69
15,605228.SH,神通科技,汽车配件,主板,14.36,122.43,high_quality_continuation,96,79.43%,68.25%,5.27%,53,0.59
