排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,机会类型,入场分区,入场概率,次日承接,快速失败,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,688498.SH,源杰科技,半导体,科创板,1005.44,confirmation_needed,observe,ready,100.00%,74.36%,9.00%,100,68.71%,0.12%,11.03%,73,0.33
2,001309.SZ,德明利,半导体,主板,380.10,confirmation_needed,observe,ready,99.98%,40.73%,41.11%,95,83.02%,0.95%,12.92%,67,0.53
3,688125.SH,安达智能,专用机械,科创板,215.00,confirmation_needed,observe,ready,99.95%,39.31%,32.33%,8,87.27%,0.21%,17.65%,88,0.44
4,300308.SZ,中际旭创,通信设备,创业板,569.41,confirmation_needed,observe,ready,99.73%,86.00%,7.89%,69,81.31%,0.11%,14.51%,65,0.34
5,300502.SZ,新易盛,通信设备,创业板,442.84,confirmation_needed,observe,ready,98.86%,85.93%,6.14%,100,81.96%,0.31%,10.53%,68,0.38
6,605289.SH,罗曼股份,建筑工程,主板,94.69,confirmation_needed,observe,ready,98.84%,49.79%,11.54%,3,86.56%,0.38%,18.59%,80,0.48
7,688308.SH,欧科亿,机械基件,科创板,78.22,confirmation_needed,observe,ready,98.62%,40.72%,44.92%,54,72.38%,0.22%,16.44%,87,0.45
8,688309.SH,恒誉环保,环境保护,科创板,58.77,confirmation_needed,observe,ready,97.97%,30.02%,34.33%,82,91.00%,0.18%,8.84%,69,0.40
9,688480.SH,赛恩斯,环境保护,科创板,76.92,confirmation_needed,observe,ready,97.41%,85.55%,6.82%,10,76.31%,1.04%,12.98%,75,0.44
10,300881.SZ,盛德鑫泰,钢加工,创业板,41.00,confirmation_needed,observe,ready,96.43%,67.66%,11.94%,0,78.91%,0.61%,16.90%,83,0.41
11,603986.SH,兆易创新,半导体,主板,238.10,confirmation_needed,observe,ready,91.22%,82.64%,20.49%,0,73.49%,0.08%,14.34%,95,0.50
12,688325.SH,赛微微电,半导体,科创板,119.58,confirmation_needed,first_buy,ready,89.54%,59.40%,21.04%,57,83.31%,0.38%,16.36%,72,0.45
13,300720.SZ,海川智能,电器仪表,创业板,61.95,confirmation_needed,observe,ready,89.38%,70.30%,11.44%,100,80.61%,0.68%,7.35%,67,0.54
14,688052.SH,纳芯微,半导体,科创板,147.88,confirmation_needed,observe,ready,87.22%,68.04%,31.76%,1,71.73%,0.07%,11.67%,90,0.41
15,301196.SZ,唯科科技,专用机械,创业板,99.60,confirmation_needed,observe,ready,84.49%,33.80%,25.69%,100,81.52%,0.13%,9.30%,74,0.43
16,688307.SH,中润光学,元器件,科创板,68.35,confirmation_needed,observe,ready,83.68%,64.58%,21.70%,100,82.70%,0.08%,14.23%,68,0.51
17,688392.SH,骄成超声,专用机械,科创板,106.00,confirmation_needed,observe,ready,83.64%,42.01%,17.13%,3,62.86%,0.10%,8.64%,79,0.46
18,300488.SZ,恒锋工具,机械基件,创业板,27.93,confirmation_needed,observe,ready,83.44%,33.68%,18.46%,5,82.04%,1.21%,8.23%,86,0.37
19,603062.SH,麦加芯彩,染料涂料,主板,46.29,confirmation_needed,observe,ready,82.46%,71.46%,34.48%,6,75.93%,0.06%,14.68%,93,0.40
20,920037.BJ,广信科技,电气设备,北交所,71.78,confirmation_needed,observe,ready,82.43%,76.10%,13.24%,9,61.14%,0.03%,6.78%,85,0.39
21,688097.SH,博众精工,专用机械,科创板,52.82,confirmation_needed,observe,ready,82.29%,46.81%,33.75%,67,82.60%,0.31%,17.31%,64,0.44
22,002056.SZ,横店东磁,电气设备,主板,18.60,confirmation_needed,observe,ready,82.24%,31.23%,28.07%,0,75.19%,0.04%,1.80%,88,0.27
23,605296.SH,神农集团,农业综合,主板,27.33,confirmation_needed,observe,ready,81.79%,85.57%,10.18%,22,82.51%,0.11%,11.82%,84,0.30
24,001225.SZ,和泰机电,专用机械,主板,49.00,confirmation_needed,observe,ready,81.47%,71.61%,31.15%,0,82.87%,2.46%,12.95%,85,0.40
25,000988.SZ,华工科技,专用机械,主板,103.50,confirmation_needed,observe,ready,80.74%,73.25%,14.07%,82,80.15%,0.22%,20.00%,72,0.48
26,300677.SZ,英科医疗,医疗保健,创业板,58.68,confirmation_needed,observe,ready,80.66%,20.17%,43.11%,81,77.97%,0.29%,16.58%,62,0.49
27,002714.SZ,牧原股份,农业综合,主板,41.71,confirmation_needed,observe,ready,80.09%,30.65%,43.74%,0,78.86%,0.04%,7.50%,89,0.38
28,001234.SZ,泰慕士,服饰,主板,25.27,confirmation_needed,observe,ready,79.37%,55.16%,28.34%,3,57.04%,0.15%,6.20%,85,0.39
29,603919.SH,金徽酒,白酒,主板,17.62,confirmation_needed,observe,ready,79.19%,81.59%,8.58%,0,68.30%,0.04%,2.28%,89,0.38
30,003009.SZ,中天火箭,航空,主板,57.74,confirmation_needed,observe,ready,79.11%,56.01%,19.28%,0,64.68%,0.75%,10.15%,82,0.43
31,002579.SZ,中京电子,元器件,主板,11.17,confirmation_needed,observe,ready,78.78%,67.61%,18.10%,0,71.02%,0.17%,1.18%,84,0.41
32,600888.SH,新疆众和,铝,主板,7.99,confirmation_needed,observe,ready,78.36%,86.81%,16.59%,4,60.65%,0.10%,0.85%,84,0.34
33,301389.SZ,隆扬电子,元器件,创业板,49.10,confirmation_needed,observe,ready,78.11%,80.04%,19.98%,12,62.62%,0.10%,12.60%,74,0.39
34,920706.BJ,铁拓机械,工程机械,北交所,24.01,confirmation_needed,observe,ready,77.34%,77.91%,29.21%,3,72.90%,0.08%,2.44%,87,0.25
35,300545.SZ,联得装备,专用机械,创业板,30.35,confirmation_needed,observe,ready,77.21%,72.15%,41.66%,9,63.04%,0.09%,11.15%,86,0.37
36,688212.SH,澳华内镜,医疗保健,科创板,37.30,confirmation_needed,observe,ready,76.55%,69.58%,14.78%,10,72.23%,0.05%,9.00%,74,0.15
37,603318.SH,水发燃气,供气供热,主板,7.87,confirmation_needed,observe,ready,75.78%,38.41%,19.52%,14,55.53%,0.03%,7.09%,72,0.35
38,301257.SZ,普蕊斯,医疗保健,创业板,55.46,confirmation_needed,observe,ready,75.07%,61.83%,26.95%,11,66.35%,0.16%,8.31%,77,0.45
39,300809.SZ,华辰装备,机床制造,创业板,32.94,confirmation_needed,observe,ready,74.68%,80.20%,7.67%,8,52.49%,0.13%,7.27%,69,0.37
40,002106.SZ,莱宝高科,元器件,主板,10.36,confirmation_needed,observe,ready,74.49%,83.62%,12.93%,0,60.65%,0.04%,-0.58%,90,0.39
41,600108.SH,亚盛集团,种植业,主板,4.55,confirmation_needed,observe,ready,74.47%,34.22%,43.68%,17,60.05%,0.13%,7.25%,76,0.29
42,002595.SZ,豪迈科技,专用机械,主板,79.18,confirmation_needed,observe,ready,74.45%,80.00%,11.09%,0,54.14%,0.08%,9.03%,84,0.39
43,688234.SH,天岳先进,半导体,科创板,81.90,confirmation_needed,observe,ready,74.16%,62.94%,23.64%,20,71.94%,0.05%,9.35%,68,0.45
44,603356.SH,华菱精工,运输设备,主板,17.65,confirmation_needed,observe,ready,74.13%,20.31%,43.45%,12,70.64%,0.07%,1.18%,88,0.35
45,000505.SZ,京粮控股,食品,主板,6.93,confirmation_needed,observe,ready,73.69%,38.11%,37.55%,27,57.51%,0.11%,0.85%,77,0.39
46,301359.SZ,东南电子,元器件,创业板,19.92,confirmation_needed,observe,ready,73.28%,53.14%,29.28%,5,57.88%,0.08%,2.77%,90,0.41
47,001696.SZ,宗申动力,摩托车,主板,19.90,confirmation_needed,observe,ready,73.06%,11.22%,32.25%,18,68.73%,0.77%,-2.48%,83,0.34
48,603737.SH,三棵树,染料涂料,主板,50.70,confirmation_needed,observe,ready,72.94%,78.36%,31.41%,31,71.73%,0.05%,10.86%,69,0.45
49,688093.SH,世华科技,化工原料,科创板,30.40,confirmation_needed,observe,ready,72.93%,73.82%,9.83%,0,54.69%,0.22%,8.55%,87,0.44
50,002938.SZ,鹏鼎控股,元器件,主板,52.17,confirmation_needed,observe,ready,72.44%,59.87%,23.81%,17,70.57%,0.13%,10.83%,69,0.46
51,688251.SH,井松智能,专用机械,科创板,36.71,confirmation_needed,first_buy,ready,72.32%,31.69%,26.53%,65,75.77%,0.40%,10.58%,68,0.45
52,600126.SH,杭钢股份,普钢,主板,8.56,confirmation_needed,observe,ready,72.07%,72.34%,29.07%,23,63.17%,0.23%,-1.43%,81,0.35
53,688700.SH,东威科技,专用机械,科创板,48.94,confirmation_needed,observe,ready,71.38%,84.68%,9.84%,88,65.84%,0.19%,20.79%,60,0.50
54,600511.SH,国药股份,医药商业,主板,29.30,confirmation_needed,observe,ready,71.29%,78.13%,24.49%,35,72.67%,0.12%,9.90%,69,0.29
55,002536.SZ,飞龙股份,汽车配件,主板,27.48,confirmation_needed,observe,ready,71.25%,83.10%,9.74%,11,73.99%,0.80%,11.45%,90,0.38
