排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,603375.SH,盛景微,半导体,主板,39.74,confirmation_needed,watch,mid,31.61,10%,trend_follow,ready,86.00%,76.91%,12.45%,51.2,79.5,23.3,0.0,69.4,56.3,87,56.93%,56.33%,3.95%,51,0.69
2,301280.SZ,珠城科技,元器件,创业板,59.60,defense_first,watch,mid,30.19,10%,trend_follow,ready,85.20%,76.50%,8.47%,54.6,79.7,21.8,0.0,67.6,54.6,77,41.14%,58.67%,2.78%,65,0.60
3,300835.SZ,龙磁科技,矿物制品,创业板,92.00,confirmation_needed,stand_aside,mid,29.28,0%,trend_follow,ready,86.00%,75.00%,11.99%,53.2,75.1,16.7,0.0,52.7,53.9,100,56.79%,50.00%,3.54%,67,0.79
4,000550.SZ,江铃汽车,汽车整车,主板,19.06,momentum_but_heavy_overhead,watch,mid,28.21,10%,trend_follow,ready,77.60%,71.59%,12.15%,64.8,78.0,16.8,0.0,54.5,62.0,68,31.49%,55.78%,1.67%,66,0.70
5,603409.SH,汇通控股,汽车配件,主板,40.22,confirmation_needed,watch,mid,27.85,10%,trend_follow,ready,81.00%,74.37%,12.02%,60.8,70.6,25.7,0.0,54.9,54.6,85,53.33%,62.75%,3.88%,57,0.58
6,002825.SZ,纳尔股份,化工原料,主板,11.28,defense_first,watch,transition,27.61,10%,trend_follow,ready,85.20%,75.91%,8.41%,52.6,50.3,21.4,0.0,55.5,58.7,70,40.35%,61.67%,2.85%,60,0.58
7,002240.SZ,盛新锂能,小金属,主板,44.86,defense_first,watch,mid,27.49,10%,trend_follow,ready,85.60%,76.20%,9.36%,59.7,68.2,20.4,0.0,54.9,56.7,98,45.56%,56.14%,3.00%,67,0.70
8,600527.SH,江南高纤,化纤,主板,2.81,defense_first,watch,mid,26.60,10%,trend_follow,ready,85.20%,75.96%,9.56%,63.7,70.0,19.1,0.0,50.7,56.3,91,40.94%,61.00%,2.86%,71,0.65
9,002080.SZ,中材科技,玻璃,主板,50.14,defense_first,stand_aside,mid,26.47,0%,trend_follow,ready,85.60%,73.47%,8.67%,52.5,64.1,22.6,0.0,68.2,57.5,100,44.91%,55.00%,2.78%,76,0.78
10,002415.SZ,海康威视,IT设备,主板,32.65,defense_first,watch,mid,26.11,10%,observe,ready,81.20%,76.30%,7.04%,50.1,70.9,21.0,0.0,51.9,60.9,64,41.90%,59.73%,2.89%,56,0.55
