ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_trigger_state,buy_opportunity_type,buy_entry_probability,buy_entry_zone,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_p_acceptance_1d,buy_p_fail_fast_3d,buy_breakout_quality,buy_volume_state,buy_volume_pattern,buy_position_state,buy_trend_truth_score,buy_readiness_score,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_trigger_state,sell_opportunity_type,sell_entry_probability,sell_entry_zone,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_p_acceptance_1d,sell_p_fail_fast_3d,sell_breakout_quality,sell_volume_state,sell_volume_pattern,sell_position_state,sell_trend_truth_score,sell_readiness_score,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,new_trigger_filter,mismatch_type
601360.SH,三六零,2025-02-11,2025-02-12,1,300,13.2,13.14,-18.0,-0.0045,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.3094,avoid,76,0.0917,0.8949,0.9137,0.0647,invalid,neutral,neutral,rising,100.0,70.56757830766269,显著强于基准,-29.125,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.2811,avoid,76,0.8464,0.3537,0.8114,0.0408,invalid,contract,gentle_expand,rising,100.0,68.59266844040542,显著强于基准,-13.8705,0.0,True,False,False,False,True,True,other
600570.SH,恒生电子,2025-02-11,2025-02-12,1,100,31.21,32.74,153.0,0.049,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4112,watch,66,0.9256,0.1254,0.871,0.0577,suspicious,expand,neutral,rising,82.56052613746617,66.57647856828746,显著强于基准,2.554,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3558,avoid,67,0.3655,0.3129,0.4065,0.2127,suspicious,expand,neutral,high_zone,100.0,81.74037475088309,显著强于基准,-21.441,0.0,False,True,False,True,False,True,other
600588.SH,用友网络,2025-02-10,2025-02-13,3,300,14.51,17.38,861.0,0.1978,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4686,watch,74,0.7222,0.2732,0.0154,0.2827,suspicious,expand,neutral,high_zone,100.0,79.85780836663655,显著强于基准,-20.431,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3059,avoid,72,0.0656,0.9337,0.0178,0.9177,suspicious,neutral,impulsive_spike,high_zone,90.0,78.86886729361805,显著强于基准,-76.9845,0.0,False,True,False,True,False,True,other
600580.SH,卧龙电驱,2025-02-13,2025-02-14,1,200,25.42,24.8,-124.0,-0.0244,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.6908,candidate,69,0.9125,0.1783,0.1264,0.0983,suspicious,expand,neutral,rising,100.0,67.63720386607112,显著强于基准,9.438,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.6536,candidate,69,0.8869,0.2987,0.287,0.3411,suspicious,neutral,neutral,rising,100.0,65.0445117067367,与基准大体同步,-7.316,0.0,True,True,False,True,False,True,system_stayed_positive_but_loss
002558.SZ,巨人网络,2025-02-11,2025-02-14,3,300,15.02,16.05,309.0,0.0686,defense_first,stand_aside,exit_on_invalidation,100,exhausted,reject,0.5712,candidate,68,0.8407,0.0932,0.8974,0.0679,suspicious,contract,gentle_expand,high_zone,86.88094810916408,57.07061099033508,显著强于基准,5.444,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5575,candidate,69,0.0238,0.6819,0.0304,0.3948,valid,expand,neutral,high_zone,99.94814320290217,74.5596448780766,显著强于基准,-32.1245,0.0,False,False,False,False,True,True,other
600588.SH,用友网络,2025-02-14,2025-02-17,3,200,18.22,17.68,-108.0,-0.0296,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.471,watch,70,0.0315,0.9133,0.0401,0.937,suspicious,expand,impulsive_spike,rising,90.0,73.29958999318347,显著强于基准,-69.395,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.4543,watch,74,0.1201,0.3558,0.116,0.8727,invalid,neutral,impulsive_spike,rising,90.0,68.97419196074733,显著强于基准,-68.5165,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
601216.SH,君正集团,2025-02-14,2025-02-17,3,800,6.26,6.05,-168.0,-0.0335,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3738,avoid,70,0.1246,0.8713,0.0489,0.952,suspicious,expand,neutral,rising,83.61511499315849,69.61684215088391,显著强于基准,-72.807,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.3839,avoid,71,0.3397,0.4853,0.4364,0.505,invalid,neutral,neutral,rising,87.26927649715395,63.51850587271363,显著强于基准,-42.2305,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
600120.SH,浙江东方,2025-02-13,2025-02-17,4,500,8.81,7.63,-590.0,-0.1339,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3709,avoid,64,0.0152,0.9735,0.0106,0.9514,suspicious,expand,neutral,rising,100.0,79.41315590303236,显著强于基准,-69.0895,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.4366,watch,86,0.5484,0.2238,0.3367,0.3806,invalid,neutral,neutral,rising,100.0,69.60509289139463,略强于基准,-43.221,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
600498.SH,烽火通信,2025-02-17,2025-02-18,1,200,24.99,24.8,-38.0,-0.0076,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5053,watch,61,0.0084,0.1715,0.8687,0.2155,suspicious,expand,neutral,rising,95.1533417136489,74.83909783113607,显著强于基准,-16.0235,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5534,candidate,58,0.0118,0.7214,0.7917,0.6068,suspicious,neutral,gentle_expand,rising,100.0,73.23353318271454,显著强于基准,-34.269,0.0,True,False,False,False,True,True,other
600570.SH,恒生电子,2025-02-14,2025-02-18,4,100,34.98,32.73,-225.0,-0.0643,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3777,avoid,69,0.1034,0.9261,0.0348,0.918,suspicious,expand,impulsive_spike,high_zone,89.27729159008167,73.85870697131205,显著强于基准,-70.0155,0.0,defense_first,stand_aside,exit_on_invalidation,96,watch,reject,0.5221,watch,72,0.4414,0.2923,0.7763,0.2922,invalid,neutral,neutral,rising,97.91073076762213,68.86340453249655,显著强于基准,-23.6095,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
002558.SZ,巨人网络,2025-02-17,2025-02-18,1,300,16.61,16.2,-123.0,-0.0247,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5492,watch,69,0.0274,0.1109,0.0233,0.1377,suspicious,expand,neutral,rising,99.66459641921591,69.32957239286146,显著强于基准,-17.0,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5646,candidate,70,0.0899,0.1643,0.1387,0.2212,suspicious,neutral,neutral,rising,97.97056445708478,66.64510838418352,显著强于基准,-21.067,0.0,True,False,False,False,False,True,other
601777.SH,千里科技,2025-02-18,2025-02-19,1,600,7.89,8.66,462.0,0.0976,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3771,avoid,73,0.9033,0.133,0.8798,0.1251,suspicious,expand,impulsive_spike,rising,84.9005067284939,67.40643815191581,显著强于基准,-10.4705,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.4633,watch,74,0.0223,0.9393,0.1644,0.8932,valid,expand,gentle_expand,high_zone,100.0,75.42640183519669,显著强于基准,-71.2975,0.0,False,True,False,False,True,True,other
002152.SZ,广电运通,2025-02-18,2025-02-19,1,300,13.18,14.15,291.0,0.0736,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3303,avoid,56,0.8819,0.0595,0.9359,0.1412,suspicious,expand,impulsive_spike,rising,67.60863293972051,61.94054556236283,显著强于基准,3.0295,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3472,avoid,57,0.1417,0.6804,0.0431,0.7157,valid,expand,impulsive_spike,high_zone,71.9495430758416,66.89050941614416,显著强于基准,-46.484,0.0,False,True,False,False,True,True,other
600050.SH,中国联通,2025-02-18,2025-02-20,2,700,6.44,6.2,-168.0,-0.0373,defense_first,stand_aside,exit_on_invalidation,100,exhausted,reject,0.3865,avoid,65,0.0442,0.0425,0.0404,0.9251,valid,expand,distribution,high_zone,70.0663781112678,53.64883493710376,显著强于基准,-67.2295,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.6548,candidate,68,0.4506,0.1722,0.1206,0.3261,suspicious,contract,neutral,rising,100.0,66.90113034262009,显著强于基准,-14.088,0.0,True,False,False,False,True,True,other
600498.SH,烽火通信,2025-02-20,2025-02-21,1,100,27.38,28.62,124.0,0.0453,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5746,candidate,61,0.0465,0.9569,0.8719,0.844,valid,expand,impulsive_spike,rising,90.0,68.46449094109364,显著强于基准,-49.853,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5843,candidate,61,0.01,0.979,0.2536,0.9047,valid,neutral,gentle_expand,high_zone,100.0,73.35835358012478,显著强于基准,-53.7885,0.0,False,False,False,False,True,True,other
600183.SH,生益科技,2025-02-19,2025-02-24,5,100,33.84,32.35,-149.0,-0.044,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.466,watch,58,0.083,0.9397,0.0562,0.9277,valid,neutral,neutral,high_zone,76.32138124126747,59.92111751232577,显著强于基准,-56.032,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,97,watch,observe,0.6064,candidate,60,0.9019,0.5598,0.0493,0.3498,valid,expand,pullback_shrink,rising,89.85948656921158,65.08431990008594,略强于基准,-1.712,0.0,True,False,False,True,False,True,other
