ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_breakout_quality,buy_volume_state,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_breakout_quality,sell_volume_state,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,mismatch_type
601360.SH,三六零,2025-02-11,2025-02-12,1,300,13.2,13.14,-18.0,-0.0045,defense_first,stand_aside,exit_on_invalidation,100,76,0.6925,0.3141,invalid,neutral,显著强于基准,93.25,0.0,defense_first,stand_aside,exit_on_invalidation,100,76,0.6856,0.3147,invalid,contract,显著强于基准,92.56,0.0,True,False,False,False,True,other
600570.SH,恒生电子,2025-02-11,2025-02-12,1,100,31.21,32.74,153.0,0.049,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,66,0.5452,0.3031,suspicious,expand,显著强于基准,88.52,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,67,0.5556,0.3038,suspicious,expand,显著强于基准,88.56,0.0,False,True,False,True,False,other
600588.SH,用友网络,2025-02-10,2025-02-13,3,300,14.51,17.38,861.0,0.1978,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,74,0.5451,0.3061,suspicious,expand,显著强于基准,80.51,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,72,0.5849,0.3147,suspicious,neutral,显著强于基准,86.49,0.0,False,True,False,True,False,other
600580.SH,卧龙电驱,2025-02-13,2025-02-14,1,200,25.42,24.8,-124.0,-0.0244,high_quality_continuation,buy_on_pullback,hold_above_support,100,69,0.6981,0.2164,suspicious,expand,显著强于基准,100.81,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,69,0.6681,0.2201,suspicious,neutral,与基准大体同步,97.81,0.0,True,True,True,True,False,system_stayed_positive_but_loss
002558.SZ,巨人网络,2025-02-11,2025-02-14,3,300,15.02,16.05,309.0,0.0686,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,68,0.585,0.3006,suspicious,contract,显著强于基准,90.5,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,69,0.6088,0.3058,valid,expand,显著强于基准,91.88,0.0,False,True,False,True,False,other
600588.SH,用友网络,2025-02-14,2025-02-17,3,200,18.22,17.68,-108.0,-0.0296,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,70,0.5924,0.3185,suspicious,expand,显著强于基准,89.24,0.0,defense_first,stand_aside,exit_on_invalidation,100,74,0.5898,0.3259,invalid,neutral,显著强于基准,84.98,0.0,True,True,False,False,True,buy_looked_good_then_broke
601216.SH,君正集团,2025-02-14,2025-02-17,3,800,6.26,6.05,-168.0,-0.0335,high_quality_continuation,buy_on_pullback,hold_above_support,100,70,0.6838,0.3126,suspicious,expand,显著强于基准,98.38,0.0,defense_first,stand_aside,exit_on_invalidation,100,71,0.6723,0.32,invalid,neutral,显著强于基准,96.23,0.0,True,True,True,False,True,buy_looked_good_then_broke
600120.SH,浙江东方,2025-02-13,2025-02-17,4,500,8.81,7.63,-590.0,-0.1339,high_quality_continuation,buy_on_pullback,hold_above_support,100,64,0.719,0.3212,suspicious,expand,显著强于基准,107.9,0.2,defense_first,stand_aside,exit_on_invalidation,100,86,0.6772,0.3362,invalid,neutral,略强于基准,81.72,0.0,True,True,True,False,True,buy_looked_good_then_broke
600498.SH,烽火通信,2025-02-17,2025-02-18,1,200,24.99,24.8,-38.0,-0.0076,high_quality_continuation,buy_on_pullback,hold_above_support,100,61,0.7892,0.1876,suspicious,expand,显著强于基准,117.92,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,58,0.798,0.1892,suspicious,neutral,显著强于基准,121.8,0.2,True,True,True,True,False,system_stayed_positive_but_loss
600570.SH,恒生电子,2025-02-14,2025-02-18,4,100,34.98,32.73,-225.0,-0.0643,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,69,0.5665,0.3062,suspicious,expand,显著强于基准,87.65,0.0,defense_first,stand_aside,exit_on_invalidation,96,72,0.5374,0.3165,invalid,neutral,显著强于基准,77.74,0.0,True,True,False,False,True,buy_looked_good_then_broke
002558.SZ,巨人网络,2025-02-17,2025-02-18,1,300,16.61,16.2,-123.0,-0.0247,high_quality_continuation,buy_on_pullback,hold_above_support,100,69,0.6223,0.3089,suspicious,expand,显著强于基准,93.23,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,70,0.6055,0.313,suspicious,neutral,显著强于基准,90.55,0.0,True,True,True,True,False,system_stayed_positive_but_loss
601777.SH,千里科技,2025-02-18,2025-02-19,1,600,7.89,8.66,462.0,0.0976,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,73,0.5993,0.2587,suspicious,expand,显著强于基准,86.93,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,74,0.6201,0.2577,valid,expand,显著强于基准,88.01,0.0,False,True,False,True,False,other
002152.SZ,广电运通,2025-02-18,2025-02-19,1,300,13.18,14.15,291.0,0.0736,high_quality_continuation,buy_on_pullback,hold_above_support,100,56,0.8283,0.1789,suspicious,expand,显著强于基准,126.83,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,57,0.8444,0.1807,valid,expand,显著强于基准,127.44,0.2,False,True,True,True,False,other
600050.SH,中国联通,2025-02-18,2025-02-20,2,700,6.44,6.2,-168.0,-0.0373,high_quality_continuation,buy_on_pullback,hold_above_support,100,65,0.7751,0.241,valid,expand,显著强于基准,112.51,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,68,0.7636,0.2471,suspicious,contract,显著强于基准,108.36,0.0,True,True,True,True,False,system_stayed_positive_but_loss
600498.SH,烽火通信,2025-02-20,2025-02-21,1,100,27.38,28.62,124.0,0.0453,high_quality_continuation,buy_on_pullback,hold_above_support,100,61,0.8042,0.1959,valid,expand,显著强于基准,119.42,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,61,0.812,0.1963,valid,neutral,显著强于基准,120.2,0.2,False,True,True,True,False,other
600183.SH,生益科技,2025-02-19,2025-02-24,5,100,33.84,32.35,-149.0,-0.044,defense_first,stand_aside,exit_on_invalidation,100,58,0.5353,0.2634,valid,neutral,显著强于基准,95.53,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,97,60,0.4767,0.2593,valid,expand,略强于基准,84.67,0.0,True,False,False,False,False,other
002152.SZ,广电运通,2025-02-24,2025-02-25,1,300,15.02,14.24,-234.0,-0.0519,high_quality_continuation,buy_on_pullback,hold_above_support,100,58,0.853,0.1875,valid,neutral,显著强于基准,127.3,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,59,0.8331,0.1898,suspicious,contract,显著强于基准,124.31,0.2,True,True,True,True,False,system_stayed_positive_but_loss
000988.SZ,华工科技,2025-02-21,2025-02-25,4,100,49.26,45.36,-390.0,-0.0792,high_quality_continuation,buy_on_pullback,hold_above_support,100,59,0.6571,0.1757,valid,expand,显著强于基准,106.71,0.2,defense_first,stand_aside,exit_on_invalidation,99,71,0.6143,0.1984,invalid,contract,显著强于基准,89.43,0.0,True,True,True,False,True,buy_looked_good_then_broke
